################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'claim']]
################################################################################
IN SEQ: 	 b'are sp ##ix mac ##aw ##s extinct in 2020 ?'
GOLD SEQ: 	 b'are sp ##ix mac ##aw ##s extinct in 2020 ?'
PRED SEQ:	 b'are sp ##ix mac ##aw ##s in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0035862804, 0.0015456437, 0.0026093184, 0.02499039, 0.006372146, 0.0054108095, 0.790629, 0.0002230896, 0.0010026562, 0.00408773]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will donald trump get over joe bid ##ens win ?'
GOLD SEQ: 	 b'will donald trump get over joe bid ##ens win ?'
PRED SEQ:	 b'will donald trump get over joe bid ##ens win ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09540159, 0.00048308753, 0.0003794209, 0.31620646, 0.025330901, 0.00017973591, 3.5536217e-05, 5.6609733e-05, 0.2709431, 0.21395229]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'as an american , what is the one advice that you would like to give to donald trump after he lost the 2020 election ?'
GOLD SEQ: 	 b'as an american , what is the one advice that you would like to give to donald trump after he lost the 2020 election ?'
PRED SEQ:	 b'as an american , what is the one advice that you would like to give to donald trump after he lost the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.031089395, 0.13259974, 0.05918057, 0.0003492689, 0.0023128411, 0.0022664948, 0.0009444702, 0.2121462, 0.039711095, 0.0028119187, 0.39576486, 0.0041479534, 0.0015421698, 4.471705e-05, 0.00029706862, 5.0391216e-05, 9.601869e-05, 6.810695e-05, 0.0007227895, 0.005142821, 0.020121805, 0.00051122153, 0.008464799, 0.0016583737, 0.0018107574]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'back in the 2020 us presidential election , why had there been confirmed won states reported on the us news websites for different candidates when reported vote counts were less than 5 percent ?'
GOLD SEQ: 	 b'back in the 2020 us presidential election , why had there been confirmed won states reported on the us news websites for different candidates when reported vote counts were less than 5 percent ?'
PRED SEQ:	 b'back in the 2020 us presidential election , why had there been confirmed states reported on the us news websites for different candidates when reported vote counts were less than 5 percent ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.033484597, 0.00022465829, 9.924164e-05, 0.0052898377, 0.0025613313, 0.00041895758, 0.000228861, 0.0004915592, 0.10979343, 0.001588229, 0.00031058624, 0.00035189977, 0.07707327, 0.24516582, 0.0017923317, 0.0043002577, 1.3583654e-05, 0.00012963563, 0.00096742, 0.00014166872, 4.0507646e-05, 5.273655e-05, 0.0011286684, 0.00017179221, 0.0005642701, 0.09020654, 1.42224035e-05, 2.9359266e-05, 0.0001600628, 0.0007416376, 0.00012256924, 6.492642e-05, 0.00025331284, 0.009756391]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are your thoughts on republican law ##makers who voted against ce ##rti ##fying president bid ##en \' s november 2020 election victory seeing a sharp drop in donations from political action committees ( " pac ##s " ) in the first quarter of 2021 ?'
GOLD SEQ: 	 b'what are your thoughts on republican law ##makers who voted against ce ##rti ##fying president bid ##en \' s november 2020 election victory seeing a sharp drop in donations from political action committees ( " pac ##s " ) in the first quarter of 2021 ?'
PRED SEQ:	 b'what are your thoughts on republican law ##makers who voted against ce ##rti ##fying president bid ##en \' s november 2020 election victory seeing a drop in donations from political action committees ( " pac ##s " ) in the first quarter of 2021 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00014409215, 1.1689279e-05, 0.00040055194, 1.7539369e-05, 7.3332535e-06, 0.0002359713, 0.000102984006, 1.0843909e-05, 1.9316745e-05, 1.574528e-05, 9.015981e-06, 2.255766e-05, 1.8617911e-05, 8.718483e-05, 0.00019750453, 1.0953823e-05, 3.0038484e-06, 1.7239722e-06, 3.7427096e-06, 1.3310221e-05, 9.769441e-06, 1.2251993e-05, 0.0028179246, 0.0058645653, 5.5237782e-05, 0.954841, 0.00029062317, 2.3248153e-06, 2.4528925e-05, 2.1136725e-06, 1.5597788e-06, 1.4364165e-06, 2.6339485e-06, 1.1890361e-06, 1.4775705e-06, 7.244433e-06, 2.078654e-06, 1.2484401e-06, 1.2124541e-06, 3.7511284e-06, 1.7291093e-06, 1.0839297e-05, 5.040444e-06, 1.5503068e-06, 1.20831955e-05, 4.159785e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'should former president trump finally come out and just admit that he was unable to find enough evidence to support his claim that he won re - election in 2020 ?'
GOLD SEQ: 	 b'should former president trump finally come out and just admit that he was unable to find enough evidence to support his claim that he won re - election in 2020 ?'
PRED SEQ:	 b'should former president trump finally come out and admit that he was unable to find enough evidence to support his claim that he won re - election in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11841612, 0.0006509142, 2.281296e-05, 1.1332646e-05, 0.05359998, 9.647217e-05, 7.337612e-06, 9.565459e-06, 0.6765593, 0.013247246, 2.5701886e-06, 9.219152e-06, 5.4380234e-06, 1.40096145e-05, 1.5371922e-06, 4.6813193e-06, 0.00010015832, 2.3998047e-05, 1.7274876e-06, 3.6359472e-06, 2.7637107e-05, 0.00023254244, 1.8377734e-06, 4.1978064e-06, 1.04965875e-05, 5.342092e-06, 2.7861402e-06, 6.556587e-06, 3.4496602e-06, 2.3397633e-05, 5.3458694e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why was the 2020 election rigged ?'
GOLD SEQ: 	 b'why was the 2020 election rigged ?'
PRED SEQ:	 b'why was the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12458347, 0.007567587, 0.00049143605, 0.0027272927, 0.0072047077, 0.44739842, 0.097996935]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is it possible that o ##an will lose conservative viewers by continuing to question the 2020 presidential results ?'
GOLD SEQ: 	 b'is it possible that o ##an will lose conservative viewers by continuing to question the 2020 presidential results ?'
PRED SEQ:	 b'is it possible that o ##an will lose viewers by continuing to question the 2020 presidential results ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0076686754, 0.0006276159, 0.097053915, 5.6820063e-05, 0.0014892352, 0.004592185, 0.018162603, 0.014170107, 0.59436524, 0.001370888, 7.733806e-05, 0.0051980894, 1.7051852e-05, 0.019810162, 4.9901726e-05, 0.0001317144, 0.00012497377, 8.177212e-05, 0.0019156139]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'can people convince joe bid ##en to run for a second term ?'
GOLD SEQ: 	 b'can people convince joe bid ##en to run for a second term ?'
PRED SEQ:	 b'can convince people bid ##en to run for a second term ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5291939, 0.28880918, 0.11194222, 2.1051363e-05, 5.371631e-06, 4.2477423e-06, 6.9253056e-06, 0.00014470513, 1.4609534e-05, 2.5366397e-05, 0.0003304497, 0.00010483707, 0.013996727]
GOLD TOK: 	 []
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'will joe bid ##en and kamal ##a harris be able to unite a divided country ?'
GOLD SEQ: 	 b'will joe bid ##en and kamal ##a harris be able to unite a divided country ?'
PRED SEQ:	 b'will joe bid ##en and kamal ##a harris be able to unite a divided country ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24712113, 0.0048716557, 0.00046850735, 0.00017618887, 0.0013010137, 0.004611835, 0.0022225978, 0.0022456613, 0.15159439, 0.12922326, 0.0057884865, 0.1177932, 0.008884521, 0.115610674, 0.1122998, 0.12278095]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'does us president joe bid ##en plan to cut at least 50 % greenhouse emissions by 203 ##0 ?'
GOLD SEQ: 	 b'does us president joe bid ##en plan to cut at least 50 % greenhouse emissions by 203 ##0 ?'
PRED SEQ:	 b'us president joe bid ##en plan to cut at least 50 % greenhouse emissions by 203 ##0 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4675076, 0.014307929, 0.021736125, 5.030441e-05, 3.2569747e-05, 4.594507e-05, 0.17818709, 0.0025734808, 0.06487785, 7.93255e-05, 0.0001938389, 0.00022092588, 0.0011741336, 0.0024503772, 0.00259198, 0.0014432487, 0.0016799802, 0.00013773562, 0.15779576]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who took over as the fi ##cci president for 2020 - 21 ?'
GOLD SEQ: 	 b'who took over as the fi ##cci president for 2020 - 21 ?'
PRED SEQ:	 b'who took over as the fi ##cci president for 2020 - 21 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21638544, 0.037202965, 0.00036546073, 1.22974125e-05, 6.462344e-05, 0.0068600965, 0.0043462263, 0.08476939, 0.0003924511, 0.0007530524, 0.00014813196, 0.00034086552, 0.46733832]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why shouldn ' t joe bid ##en run in 202 ##4 ?"
GOLD SEQ: 	 b"why shouldn ' t joe bid ##en run in 202 ##4 ?"
PRED SEQ:	 b"why shouldn ' t joe bid ##en run in 202 ##4 ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6776782, 0.22278038, 6.7645386e-05, 0.00014896526, 2.905655e-05, 1.4502011e-05, 1.7837516e-05, 0.016279599, 0.0001207735, 0.0006227135, 2.790427e-05, 0.005908847]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why did trump lose minnesota by 1 . 5 % in 2016 but 7 % in 2020 ?'
GOLD SEQ: 	 b'why did trump lose minnesota by 1 . 5 % in 2016 but 7 % in 2020 ?'
PRED SEQ:	 b'why did trump lose minnesota by 1 . 5 % in 2016 but 7 % in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13223188, 0.016915651, 0.017820124, 0.11304283, 0.03976672, 0.0068362593, 0.00070487196, 1.8754323e-05, 4.4760443e-05, 0.00016975727, 0.00012383897, 0.0010254972, 0.25456503, 0.00193588, 0.0001384801, 0.00074107316, 0.026634352, 0.039413065]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'were the republican congress ##men and state officials who signed onto the texas lawsuit aware that it had absolutely zero chance of working ?'
GOLD SEQ: 	 b'were the republican congress ##men and state officials who signed onto the texas lawsuit aware that it had absolutely zero chance of working ?'
PRED SEQ:	 b'were the republican congress ##men and state officials who signed onto the texas lawsuit aware that it had absolutely zero chance of working ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0036654111, 0.0025342049, 0.022300528, 0.0960974, 0.2945411, 8.204018e-06, 0.0002396896, 2.168633e-05, 8.020815e-05, 7.8767844e-05, 9.881809e-06, 1.9390534e-05, 0.0012310956, 0.00057891384, 0.5640826, 1.1768527e-05, 0.0003816505, 0.003195319, 0.11558061, 0.0010691406, 0.00014845267, 2.7869187e-06, 0.0014553693, 0.0016758075]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was accomplished in the cities of the 2020 george floyd protests and riots ?'
GOLD SEQ: 	 b'what was accomplished in the cities of the 2020 george floyd protests and riots ?'
PRED SEQ:	 b'what was involved in the cities of the 2020 george floyd protests and riots ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.005456761, 0.06727564, 0.82164896, 2.59247e-05, 2.1555874e-05, 0.00049842754, 2.0145191e-05, 1.3575509e-05, 0.00018971777, 3.6717716e-05, 9.0339556e-05, 0.00060075213, 0.00023991276, 0.036676195, 0.0019845378]
GOLD TOK: 	 []
PRED TOK: 	 [['involved']]
################################################################################
IN SEQ: 	 b'will republican senator susan collins of maine ever face any political consequences for voting to convict president donald trump of imp ##ea ##cha ##ble offences in connection with the 2020 us presidential election ?'
GOLD SEQ: 	 b'will republican senator susan collins of maine ever face any political consequences for voting to convict president donald trump of imp ##ea ##cha ##ble offences in connection with the 2020 us presidential election ?'
PRED SEQ:	 b'will republican senator susan collins of maine ever face any political consequences for voting to convict president donald trump of imp ##ea ##cha ##ble offences in connection with the 2020 us presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0055627874, 0.01755427, 0.00012806593, 4.275044e-06, 2.5266284e-06, 3.5528592e-06, 0.0019582524, 0.74959886, 0.0062770518, 0.023000102, 0.0021389541, 0.0027272836, 2.0052614e-05, 9.166839e-05, 7.420842e-06, 0.020263413, 0.00018910319, 3.7084803e-06, 2.99137e-06, 1.6602948e-05, 1.4585175e-05, 3.177781e-05, 6.249373e-05, 7.9607395e-05, 0.0056352434, 3.8675007e-06, 1.4506742e-05, 2.267994e-06, 5.9073764e-06, 0.000105260406, 2.1448037e-05, 5.705143e-06, 6.8481304e-06, 0.0009910894]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do republicans who think the 2020 election was stolen intend to vote in 202 ##2 and 202 ##4 ?'
GOLD SEQ: 	 b'do republicans who think the 2020 election was stolen intend to vote in 202 ##2 and 202 ##4 ?'
PRED SEQ:	 b'do republicans who think the 2020 election was intend to vote in 202 ##2 and 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.563901e-05, 8.356996e-05, 5.3590073e-05, 0.00019801215, 1.3884941e-06, 2.864579e-06, 2.5692475e-06, 5.3760778e-05, 0.99493414, 0.00031287555, 1.0026001e-06, 1.8007966e-06, 1.3405689e-06, 1.5173055e-06, 1.5078168e-06, 1.7904945e-06, 1.8392989e-06, 1.5292992e-06, 1.5942122e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think the 202 ##4 election will be as insane as the 2020 election ?'
GOLD SEQ: 	 b'do you think the 202 ##4 election will be as insane as the 2020 election ?'
PRED SEQ:	 b'do you think the 202 ##4 election will be as the 2020 election as the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0003735096, 0.0026234202, 0.00031347148, 3.7798131e-06, 6.572595e-06, 6.8354198e-06, 1.6784898e-05, 0.00028930313, 9.0003094e-05, 2.744043e-05, 0.845152, 5.355452e-06, 4.0815567e-06, 8.3274435e-06, 6.9805524e-06, 2.4030887e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['the', '2020', 'election']]
################################################################################
IN SEQ: 	 b'what is the best free 2d animation software in 2020 ( top 6 ) ?'
GOLD SEQ: 	 b'what is the best free 2d animation software in 2020 ( top 6 ) ?'
PRED SEQ:	 b'what is the most popular free 2d animation software in 2020 ( top 6 ) ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0057643773, 0.06883737, 0.005292513, 0.8505224, 0.0040922323, 0.00017637308, 0.00013906231, 0.00020903152, 3.1999993e-05, 0.0005183613, 8.533542e-06, 0.11008491, 0.00014034114, 4.1900876e-06, 0.0024300294]
GOLD TOK: 	 []
PRED TOK: 	 [['most', 'popular']]
################################################################################
IN SEQ: 	 b'what will be the net worth of kamal ##a harris by 202 ##4 ?'
GOLD SEQ: 	 b'what will be the net worth of kamal ##a harris by 202 ##4 ?'
PRED SEQ:	 b'what may have been the net worth of kamal ##a harris by 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14013046, 0.72024727, 0.0010209613, 0.00033886798, 0.0023479082, 0.0007286682, 9.962508e-05, 0.0020183069, 0.0007495674, 0.00068685017, 0.0037619025, 0.0050011547, 0.0003008492, 0.03291404]
GOLD TOK: 	 []
PRED TOK: 	 [['may', 'have', 'been']]
################################################################################
IN SEQ: 	 b'is the loss of dj ##t in the 2020 elections a big loss for america ?'
GOLD SEQ: 	 b'is the loss of dj ##t in the 2020 elections a big loss for america ?'
PRED SEQ:	 b'is the loss of dj ##t in the 2020 elections a loss for america ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00079956726, 0.0004582784, 0.00079290697, 3.2911273e-06, 0.00060208666, 0.00085238146, 9.621403e-06, 6.0517054e-06, 0.00010797087, 6.7676665e-05, 0.005612325, 0.93430346, 0.00059403194, 0.0002790249, 0.0035542415, 0.00063088856]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'to what extent are social media platforms responsible for the propagation of mis ##in ##form ##ation or di ##sin ##form ##ation about the 2020 us elections ?'
GOLD SEQ: 	 b'to what extent are social media platforms responsible for the propagation of mis ##in ##form ##ation or di ##sin ##form ##ation about the 2020 us elections ?'
PRED SEQ:	 b'to what extent are social media platforms responsible for the propagation of mis ##in ##form ##ation or di ##sin ##form ##ation about the 2020 us elections ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04069155, 0.02623887, 0.09599693, 0.032500748, 0.0002754159, 6.788092e-05, 0.0029004193, 0.10154426, 0.0005814299, 0.0021823354, 0.16064921, 0.0037997153, 0.077030025, 0.03458856, 0.036319427, 0.0537483, 0.014098726, 0.053410467, 0.044332404, 0.021733979, 0.036422346, 0.015001271, 0.0014381203, 0.010129364, 0.022916121, 0.0056458586, 0.010991182]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why are red states like ga leg ##is ##lating to restrict voting when go ##p judges ( many appointed by trump ) said there was no fraud in the 2020 election ?'
GOLD SEQ: 	 b'why are red states like ga leg ##is ##lating to restrict voting when go ##p judges ( many appointed by trump ) said there was no fraud in the 2020 election ?'
PRED SEQ:	 b'why are red states like ga ##is ##lating to restrict voting when go ##p judges ( many appointed by trump ) said there was no fraud in the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0045494186, 0.00036609484, 0.017488586, 0.0005272884, 8.73731e-05, 0.0018889577, 0.0008070547, 0.00046511446, 0.0046083406, 1.0413732e-05, 0.0030899593, 1.3120512e-05, 7.14445e-05, 0.0021320803, 0.00025978783, 0.0014644711, 3.6594633e-06, 0.4558064, 0.0005336089, 5.2066566e-06, 0.00944478, 2.9342139e-06, 0.1957603, 1.9449484e-05, 2.2155251e-05, 0.05258143, 0.013589601, 1.918548e-05, 7.968567e-06, 0.00016142754, 9.615759e-05, 0.00018115104]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"nikki haley says she won ' t run for president in 202 ##4 if trump runs ."
GOLD SEQ: 	 b"nikki haley says she won ' t run for president in 202 ##4 if trump runs ."
PRED SEQ:	 b"nikki haley says she won ' t run for president in 202 ##4 if trump runs ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0037392408, 0.001320243, 0.93359315, 0.0003276449, 2.4029603e-05, 1.0842027e-05, 1.4025014e-05, 5.423074e-05, 2.263856e-05, 0.0030439445, 3.7382295e-05, 0.0002490185, 1.7280481e-05, 0.0004962471, 0.00021262729, 0.0054793884, 1.0548167e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'regardless , does she have any chance at all of getting the go ##p nomination and more importantly of winning the presidency ?'
GOLD SEQ: 	 b'regardless , does she have any chance at all of getting the go ##p nomination and more importantly of winning the presidency ?'
PRED SEQ:	 b'however , does she have any chance at all of getting the go ##p nomination and more importantly of winning the presidency ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.51432216, 0.0008443084, 0.031104602, 0.3293831, 0.0035333787, 0.009366738, 0.005887668, 0.00018995545, 0.007973027, 7.192224e-05, 0.0009178105, 0.000120000914, 0.0015810258, 0.00092534337, 0.0008036409, 0.00048347306, 0.0053055724, 0.0022839222, 5.1852927e-05, 0.0024935757, 9.004817e-05, 0.0016617719, 0.001707678]
GOLD TOK: 	 []
PRED TOK: 	 [['however']]
################################################################################
IN SEQ: 	 b'why did martha mc ##sal ##ly lose to mark kelly in the 2020 arizona senate election ?'
GOLD SEQ: 	 b'why did martha mc ##sal ##ly lose to mark kelly in the 2020 arizona senate election ?'
PRED SEQ:	 b'why did martha mc ##sal ##ly lose to mark kelly in the 2020 arizona senate election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7220657, 0.04727931, 0.0014197052, 2.9766754e-05, 7.629249e-05, 0.00016113535, 0.037104692, 0.0006016696, 0.00022388998, 4.044905e-05, 5.456325e-05, 0.00013983247, 0.0015324235, 0.00054803607, 0.000110543275, 0.00020364315, 0.08916419]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what player of the 2020 nfl draft will have the greatest impact ?'
GOLD SEQ: 	 b'what player of the 2020 nfl draft will have the greatest impact ?'
PRED SEQ:	 b'what player of the 2020 nfl draft will have the greatest impact ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08450791, 0.0024437984, 0.00013877264, 6.321039e-05, 0.00033520756, 0.001484598, 0.0004315638, 0.62639046, 0.0063222684, 0.0016112769, 0.039635237, 0.0091623375, 0.06215725]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is the us vp kamal ##a harris to deliver a message of solidarity with india tomorrow ?'
GOLD SEQ: 	 b'is the us vp kamal ##a harris to deliver a message of solidarity with india tomorrow ?'
PRED SEQ:	 b'is the us kamal ##a harris to deliver a message of solidarity with india tomorrow ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.027178157, 0.011717688, 0.006222159, 0.5672353, 0.00036613623, 0.00013452426, 0.0007632538, 0.14592212, 0.10162553, 0.030420657, 0.032129213, 0.0020640877, 0.037984785, 0.00034874055, 0.011295324, 0.017006716, 0.0064538117]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what is new education policy 2020 and its benefits ?'
GOLD SEQ: 	 b'what is new education policy 2020 and its benefits ?'
PRED SEQ:	 b'what is new education policy 2020 and its benefits ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.059924986, 0.009315032, 0.11290945, 0.007595116, 0.048557647, 0.08464614, 0.001740141, 0.1472155, 0.34315822, 0.014846385]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'realistic ##ally , could pete butt ##ig ##ieg have gotten the democratic nomination in 2020 ?'
GOLD SEQ: 	 b'realistic ##ally , could pete butt ##ig ##ieg have gotten the democratic nomination in 2020 ?'
